Date,Team,Goals,Assists,Points,Plusminus,PIM,PPG,PPP,SHG,SHP,GWG,OTG,Shots,TOI,Shifts,Year,season,Home,toi2,toi3,toi_seconds,opponent,opp_2
2023-10-11,vs EDM,1,3,4,3,2,1,1,0,0,0,0,3,20:07,25,2023,202324,1,20:07,20:07,1207,EDM,EDM
2023-10-14,@ EDM,0,0,0,-1,0,0,0,0,0,0,0,1,22:44,30,2023,202324,0,22:44,22:44,1364,EDM,EDM
2023-10-17,@ PHI,0,0,0,0,0,0,0,0,0,0,0,2,21:41,26,2023,202324,0,21:41,21:41,1301,PHI,PHI
2023-10-19,@ TBL,1,1,2,1,0,0,0,0,0,0,0,4,21:30,25,2023,202324,0,21:30,21:30,1290,TBL,TBL
2023-10-21,@ FLA,0,2,2,1,2,0,0,0,0,0,0,5,22:44,26,2023,202324,0,22:44,22:44,1364,FLA,FLA
2023-10-24,@ NSH,0,0,0,1,0,0,0,0,0,0,0,1,19:34,27,2023,202324,0,19:34,19:34,1174,NSH,NSH
2023-10-27,vs STL,1,2,3,3,0,0,0,1,1,0,0,1,17:30,23,2023,202324,1,17:30,17:30,1050,STL,STL
2023-10-28,vs NYR,1,0,1,0,0,1,1,0,0,0,0,2,25:01,30,2023,202324,1,25:01,25:01,1501,NYR,NYR
2023-10-31,vs NSH,1,0,1,0,6,0,0,0,0,0,0,2,13:02,23,2023,202324,1,13:02,13:02,782,NSH,NSH
2023-11-02,@ SJS,1,2,3,1,0,1,1,0,0,1,0,4,15:34,20,2023,202324,0,15:34,15:34,934,SJS,SJS
2023-11-04,vs DAL,0,0,0,0,0,0,0,0,0,0,0,0,22:20,28,2023,202324,1,22:20,22:20,1340,DAL,DAL
2023-11-06,vs EDM,1,1,2,0,2,1,1,0,0,0,0,2,22:56,30,2023,202324,1,22:56,22:56,1376,EDM,EDM
2023-11-09,@ OTT,1,1,2,2,0,0,0,0,0,1,0,2,17:24,27,2023,202324,0,17:24,17:24,1044,OTT,OTT
2023-11-11,@ TOR,1,0,1,-2,0,1,1,0,0,0,0,3,19:04,26,2023,202324,0,19:04,19:04,1144,TOR,TOR
2023-11-12,@ MTL,0,2,2,3,0,0,0,0,0,0,0,2,20:10,24,2023,202324,0,20:10,20:10,1210,MTL,MTL
2023-11-15,vs NYI,1,2,3,0,0,1,1,0,0,0,0,3,23:51,26,2023,202324,1,23:51,23:51,1431,NYI,NYI
2023-11-16,@ CGY,0,1,1,-2,0,0,0,0,0,0,0,1,16:40,24,2023,202324,0,16:40,16:40,1000,CGY,CGY
2023-11-18,vs SEA,1,0,1,0,2,0,0,0,0,0,0,3,19:36,21,2023,202324,1,19:36,19:36,1176,SEA,SEA
2023-11-20,vs SJS,1,0,1,1,0,0,0,0,0,0,0,3,21:01,25,2023,202324,1,21:01,21:01,1261,SJS,SJS
