Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
1,2023-10-11,1,30-211,VAN,,EDM,W,1,3,4,3,2,0,1,0,0,2,1,0,3,33.3,25,20:07,3,1,8,10,44.4
2,2023-10-14,2,30-214,VAN,@,EDM,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,30,22:44,10,1,12,14,46.2
3,2023-10-17,3,30-217,VAN,@,PHI,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,26,21:41,2,0,12,10,54.5
4,2023-10-19,4,30-219,VAN,@,TBL,L,1,1,2,1,0,1,0,0,0,1,0,0,4,25.0,25,21:30,3,2,15,9,62.5
5,2023-10-21,5,30-221,VAN,@,FLA,W,0,2,2,1,2,0,0,0,0,1,1,0,5,0.0,26,22:44,3,0,14,13,51.9
6,2023-10-24,6,30-224,VAN,@,NSH,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,27,19:34,3,0,7,13,35.0
7,2023-10-27,7,30-227,VAN,,STL,W,1,2,3,3,0,0,0,1,0,2,0,0,1,100.0,23,17:30,0,0,7,9,43.8
8,2023-10-28,8,30-228,VAN,,NYR,L-OT,1,0,1,0,0,0,1,0,0,0,0,0,2,50.0,30,25:01,2,0,15,8,65.2
9,2023-10-31,9,30-231,VAN,,NSH,W,1,0,1,0,6,1,0,0,0,0,0,0,2,50.0,23,13:02,3,0,10,6,62.5
10,2023-11-02,10,30-233,VAN,@,SJS,W,1,2,3,1,0,0,1,0,1,1,1,0,4,25.0,20,15:34,3,1,9,6,60.0
11,2023-11-04,11,30-235,VAN,,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,28,22:20,1,1,17,6,73.9
12,2023-11-06,12,30-237,VAN,,EDM,W,1,1,2,0,2,0,1,0,0,0,1,0,2,50.0,30,22:56,4,0,17,8,68.0
13,2023-11-09,13,30-240,VAN,@,OTT,W,1,1,2,2,0,1,0,0,1,0,1,0,2,50.0,27,17:24,1,1,10,10,50.0
14,2023-11-11,14,30-242,VAN,@,TOR,L,1,0,1,-2,0,0,1,0,0,0,0,0,3,33.3,26,19:04,0,1,10,11,47.6
