Date,Team,Goals,Assists,Points,Plusminus,PIM,PPG,PPP,SHG,SHP,GWG,OTG,Shots,TOI,Shifts,Year,season,Home,toi2,toi3,toi_seconds,opponent,opp_2
2023-10-12,vs DET,2,0,2,1,4,1,1,0,0,0,0,4,18:54,26,2023,202324,1,18:54,18:54,1134,DET,DET
2023-10-13,vs ARI,0,3,3,1,0,0,0,0,0,0,0,6,23:59,26,2023,202324,1,23:59,23:59,1439,ARI,ARI
2023-10-16,vs FLA,0,1,1,-2,0,0,0,0,0,0,0,6,24:32,25,2023,202324,1,24:32,24:32,1472,FLA,FLA
2023-10-20,@ NYI,2,2,4,-2,0,1,1,0,0,1,0,6,24:21,28,2023,202324,0,24:21,24:21,1461,NYI,NYI
2023-10-24,@ MTL,0,4,4,2,0,0,0,0,0,0,0,2,21:05,24,2023,202324,0,21:05,21:05,1265,MTL,MTL
2023-10-25,vs WSH,0,3,3,1,0,0,0,0,0,0,0,4,21:18,22,2023,202324,1,21:18,21:18,1278,WSH,WSH
2023-10-27,vs BUF,1,0,1,-1,0,1,1,0,0,0,0,2,22:05,27,2023,202324,1,22:05,22:05,1325,BUF,BUF
2023-10-29,vs MIN,0,0,0,0,0,0,0,0,0,0,0,1,18:11,22,2023,202324,1,18:11,18:11,1091,MIN,MIN
2023-11-02,@ MIN,0,2,2,-1,0,0,0,0,0,0,0,3,21:57,22,2023,202324,0,21:57,21:57,1317,MIN,MIN
2023-11-03,@ STL,0,0,0,0,0,0,0,0,0,0,0,1,3:55,5,2023,202324,0,3:55,3:55,235,STL,STL
2023-11-18,vs NYR,1,1,2,-1,0,0,0,0,0,0,0,8,22:40,28,2023,202324,1,22:40,22:40,1360,NYR,NYR
2023-11-22,@ DET,0,0,0,-1,0,0,0,0,0,0,0,1,22:06,25,2023,202324,0,22:06,22:06,1326,DET,DET
2023-11-24,vs CBJ,0,0,0,-2,0,0,0,0,0,0,0,8,24:11,22,2023,202324,1,24:11,24:11,1451,CBJ,CBJ
2023-11-25,vs BUF,0,1,1,3,0,0,0,0,0,0,0,5,20:09,22,2023,202324,1,20:09,20:09,1209,BUF,BUF
2023-11-28,vs NYI,1,2,3,2,0,0,0,0,0,0,0,9,20:41,22,2023,202324,1,20:41,20:41,1241,NYI,NYI
