Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
1,2023-10-12,1,22-151,NJD,,DET,W,2,0,2,1,4,1,1,0,0,0,0,0,4,50.0,26,18:54,0,0,5,8,38.5
2,2023-10-13,2,22-152,NJD,,ARI,L-SO,0,3,3,1,0,0,0,0,0,1,2,0,6,0.0,26,23:59,0,0,6,11,35.3
3,2023-10-16,3,22-155,NJD,,FLA,L,0,1,1,-2,0,0,0,0,0,0,1,0,6,0.0,25,24:32,0,0,2,10,16.7
4,2023-10-20,4,22-159,NJD,@,NYI,W,2,2,4,-2,0,1,1,0,1,0,2,0,6,33.3,28,24:21,1,0,3,9,25.0
5,2023-10-24,5,22-163,NJD,@,MTL,W,0,4,4,2,0,0,0,0,0,2,2,0,2,0.0,24,21:05,1,1,1,10,9.1
6,2023-10-25,6,22-164,NJD,,WSH,L,0,3,3,1,0,0,0,0,0,3,0,0,4,0.0,22,21:18,0,0,4,8,33.3
7,2023-10-27,7,22-166,NJD,,BUF,W,1,0,1,-1,0,0,1,0,0,0,0,0,2,50.0,27,22:05,0,1,10,6,62.5
8,2023-10-29,8,22-168,NJD,,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,18:11,0,1,4,8,33.3
9,2023-11-02,9,22-172,NJD,@,MIN,W,0,2,2,-1,0,0,0,0,0,0,2,0,3,0.0,22,21:57,0,0,7,4,63.6
10,2023-11-03,10,22-173,NJD,@,STL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,5,3:55,0,0,0,0,
11,2023-11-18,11,22-188,NJD,,NYR,L,1,1,2,-1,0,1,0,0,0,1,0,0,8,12.5,28,22:40,0,0,2,0,100.0
12,2023-11-22,12,22-192,NJD,@,DET,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,25,22:06,0,1,5,7,41.7
13,2023-11-24,13,22-194,NJD,,CBJ,L,0,0,0,-2,0,0,0,0,0,0,0,0,8,0.0,22,24:11,0,0,3,12,20.0
14,2023-11-25,14,22-195,NJD,,BUF,W,0,1,1,3,0,0,0,0,0,1,0,0,5,0.0,22,20:09,0,2,3,6,33.3
15,2023-11-28,15,22-198,NJD,,NYI,W,1,2,3,2,0,1,0,0,0,1,1,0,9,11.1,22,20:41,1,0,2,9,18.2
16,2023-11-30,16,22-200,NJD,@,PHI,W,1,2,3,2,2,1,0,0,0,1,1,0,9,11.1,26,23:29,0,0,7,4,63.6
17,2023-12-01,17,22-201,NJD,,SJS,L,1,0,1,-2,0,1,0,0,0,0,0,0,6,16.7,26,27:16,1,0,3,7,30.0
18,2023-12-05,18,22-205,NJD,@,VAN,W,1,2,3,1,0,1,0,0,0,1,1,0,6,16.7,24,18:32,0,0,1,2,33.3
19,2023-12-07,19,22-207,NJD,@,SEA,W,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,22,19:02,0,2,0,2,0.0
20,2023-12-09,20,22-209,NJD,@,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,7,0.0,20,19:37,0,0,0,1,0.0
21,2023-12-10,21,22-210,NJD,@,EDM,L,0,0,0,-1,0,0,0,0,0,0,0,0,5,0.0,22,21:44,0,1,4,8,33.3
22,2023-12-13,22,22-213,NJD,,BOS,W,1,0,1,1,0,1,0,0,1,0,0,0,4,25.0,24,21:11,1,0,8,8,50.0
23,2023-12-16,23,22-216,NJD,@,CBJ,W,3,0,3,2,0,2,1,0,1,0,0,0,3,100.0,18,15:44,0,2,2,8,20.0
24,2023-12-17,24,22-217,NJD,,ANA,L,0,0,0,-2,4,0,0,0,0,0,0,0,4,0.0,24,22:23,0,0,1,5,16.7
25,2023-12-19,25,22-219,NJD,,PHI,L-OT,0,1,1,-2,0,0,0,0,0,0,1,0,1,0.0,27,22:16,0,1,4,3,57.1
26,2023-12-21,26,22-221,NJD,,EDM,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,21,18:31,0,1,6,5,54.5
27,2023-12-23,27,22-223,NJD,,DET,W,0,1,1,-1,0,0,0,0,0,1,0,0,2,0.0,18,18:42,1,0,3,4,42.9
28,2023-12-27,28,22-227,NJD,,CBJ,W,0,1,1,0,0,0,0,0,0,1,0,0,8,0.0,23,22:40,0,0,6,6,50.0
29,2023-12-29,29,22-229,NJD,@,OTT,W,1,2,3,0,0,0,1,0,0,1,1,0,3,33.3,21,16:17,1,1,3,8,27.3
30,2023-12-30,30,22-230,NJD,@,BOS,L,0,1,1,0,0,0,0,0,0,0,1,0,4,0.0,21,19:22,0,0,4,5,44.4
31,2024-01-03,31,22-234,NJD,@,WSH,W,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,22,18:07,0,0,5,9,35.7
32,2024-01-05,32,22-236,NJD,,CHI,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,19,21:24,1,0,4,6,40.0
33,2024-02-08,33,22-270,NJD,,CGY,L,0,0,0,-3,0,0,0,0,0,0,0,0,4,0.0,20,20:24,0,0,0,0,
34,2024-02-10,34,22-272,NJD,@,CAR,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,7,0.0,26,21:37,0,0,0,0,
35,2024-02-12,35,22-274,NJD,,SEA,W,1,1,2,1,0,1,0,0,1,0,1,0,7,14.3,19,16:58,0,0,0,0,
36,2024-02-13,36,22-275,NJD,@,NSH,W,1,0,1,1,0,1,0,0,0,0,0,0,6,16.7,23,19:19,0,1,0,0,
37,2024-02-15,37,22-277,NJD,,LAK,L,0,1,1,-1,2,0,0,0,0,0,1,0,6,0.0,22,21:21,0,0,0,0,
38,2024-02-17,38,22-279,NJD,,PHI,W,0,1,1,0,0,0,0,0,0,1,0,0,5,0.0,26,21:05,0,1,0,0,
39,2024-02-20,39,22-282,NJD,@,WSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,7,0.0,21,21:44,0,1,0,0,
40,2024-02-22,40,22-284,NJD,,NYR,L,1,0,1,1,0,1,0,0,0,0,0,0,10,10.0,24,24:00,0,1,0,0,
41,2024-02-24,41,22-286,NJD,,MTL,W,0,0,0,1,0,0,0,0,0,0,0,0,4,0.0,24,22:39,0,1,0,0,
