Date,Team,Goals,Assists,Points,Plusminus,PIM,PPG,PPP,SHG,SHP,GWG,OTG,Shots,TOI,Shifts,Year,season,Home,toi2,toi3,toi_seconds,opponent,opp_2
2023-10-12,vs FLA,0,1,1,0,0,0,0,0,0,0,0,4,19:28,18,2023,202324,1,19:28,19:28,1168,FLA,FLA
2023-10-14,@ TOR,0,1,1,-2,0,0,0,0,0,0,0,2,22:04,21,2023,202324,0,22:04,22:04,1324,TOR,TOR
2023-10-17,@ MTL,1,2,3,-1,0,1,1,0,0,0,0,6,22:04,19,2023,202324,0,22:04,22:04,1324,MTL,MTL
2023-10-19,vs LAK,1,0,1,-2,0,0,0,0,0,0,0,4,20:40,20,2023,202324,1,20:40,20:40,1240,LAK,LAK
2023-10-21,vs CBJ,0,0,0,0,0,0,0,0,0,0,0,3,21:54,22,2023,202324,1,21:54,21:54,1314,CBJ,CBJ
2023-10-24,vs EDM,0,3,3,3,0,0,0,0,0,0,0,3,18:05,17,2023,202324,1,18:05,18:05,1085,EDM,EDM
2023-10-26,@ PHI,0,0,0,-3,0,0,0,0,0,0,0,3,22:48,18,2023,202324,0,22:48,22:48,1368,PHI,PHI
2023-10-27,@ WSH,0,0,0,0,0,0,0,0,0,0,0,6,24:56,23,2023,202324,0,24:56,24:56,1496,WSH,WSH
2023-10-29,@ NJD,0,0,0,-1,0,0,0,0,0,0,0,6,27:30,21,2023,202324,0,27:30,27:30,1650,NJD,NJD
2023-11-02,vs NJD,1,0,1,1,2,1,1,0,0,0,0,2,22:04,20,2023,202324,1,22:04,22:04,1324,NJD,NJD
2023-11-04,vs NYR,0,1,1,-1,0,0,0,0,0,0,0,6,24:11,19,2023,202324,1,24:11,24:11,1451,NYR,NYR
2023-11-07,@ NYI,1,0,1,0,0,1,1,0,0,1,0,4,17:13,17,2023,202324,0,17:13,17:13,1033,NYI,NYI
2023-11-09,@ NYR,0,0,0,-2,0,0,0,0,0,0,0,2,19:34,16,2023,202324,0,19:34,19:34,1174,NYR,NYR
2023-11-10,@ BUF,1,1,2,-1,2,1,1,0,0,0,0,4,20:56,19,2023,202324,0,20:56,20:56,1256,BUF,BUF
2023-11-12,vs DAL,0,1,1,-2,0,0,0,0,0,0,0,1,16:49,18,2023,202324,1,16:49,16:49,1009,DAL,DAL
2023-11-18,@ OTT,0,0,0,1,0,0,0,0,0,0,0,1,21:31,23,2023,202324,0,21:31,21:31,1291,OTT,OTT
2023-11-19,vs TOR,0,0,0,2,0,0,0,0,0,0,0,4,19:39,21,2023,202324,1,19:39,19:39,1179,TOR,TOR
2023-11-24,vs COL,1,1,2,0,0,0,0,0,0,0,0,1,19:45,18,2023,202324,1,19:45,19:45,1185,COL,COL
2023-11-26,@ DET,0,1,1,-2,0,0,0,0,0,0,0,6,25:08,18,2023,202324,0,25:08,25:08,1508,DET,DET
2023-11-28,vs STL,0,0,0,1,0,0,0,0,0,0,0,2,19:38,19,2023,202324,1,19:38,19:38,1178,STL,STL
2023-11-30,@ NSH,1,1,2,2,6,1,1,0,0,0,0,1,17:35,20,2023,202324,0,17:35,17:35,1055,NSH,NSH
2023-12-03,vs CHI,0,1,1,2,0,0,0,0,0,0,0,2,17:22,17,2023,202324,1,17:22,17:22,1042,CHI,CHI
2023-12-05,@ CGY,1,1,2,1,0,0,0,0,0,0,0,5,21:37,23,2023,202324,0,21:37,21:37,1297,CGY,CGY
2023-12-07,@ VAN,0,0,0,-1,0,0,0,0,0,0,0,2,20:41,23,2023,202324,0,20:41,20:41,1241,VAN,VAN
2023-12-08,@ EDM,0,0,0,-1,0,0,0,0,0,0,0,2,21:53,22,2023,202324,0,21:53,21:53,1313,EDM,EDM
2023-12-10,@ SEA,0,1,1,1,0,0,0,0,0,0,0,2,17:38,19,2023,202324,0,17:38,17:38,1058,SEA,SEA
2023-12-14,vs CGY,0,0,0,0,0,0,0,0,0,0,0,2,20:24,19,2023,202324,1,20:24,20:24,1224,CGY,CGY
2023-12-16,vs VAN,0,0,0,0,0,0,0,0,0,0,0,3,22:07,24,2023,202324,1,22:07,22:07,1327,VAN,VAN
2023-12-18,@ PIT,0,1,1,1,2,0,0,0,0,0,0,3,20:58,19,2023,202324,0,20:58,20:58,1258,PIT,PIT
2023-12-19,@ BOS,2,0,2,1,0,0,0,0,0,1,0,7,25:03,26,2023,202324,0,25:03,25:03,1503,BOS,BOS
2023-12-21,vs MTL,1,2,3,2,0,0,0,0,0,1,0,2,29:09,28,2023,202324,1,29:09,29:09,1749,MTL,MTL
2023-12-23,vs BOS,1,0,1,1,2,0,0,0,0,0,0,2,21:34,25,2023,202324,1,21:34,21:34,1294,BOS,BOS
2023-12-27,vs DET,1,1,2,1,0,0,0,0,0,0,0,6,20:15,20,2023,202324,1,20:15,20:15,1215,DET,DET
2023-12-30,@ WPG,0,1,1,0,0,0,0,0,0,0,0,1,15:30,16,2023,202324,0,15:30,15:30,930,WPG,WPG
2024-01-13,vs ARI,0,0,0,0,0,0,0,0,0,0,0,5,20:34,20,2024,202324,1,20:34,20:34,1234,ARI,ARI
2024-01-15,vs NYI,0,1,1,0,4,0,0,0,0,0,0,5,17:23,19,2024,202324,1,17:23,17:23,1043,NYI,NYI
2024-01-18,@ TBL,0,1,1,3,2,0,0,0,0,0,0,3,21:51,21,2024,202324,0,21:51,21:51,1311,TBL,TBL
2024-01-19,@ FLA,2,1,3,-3,0,2,2,0,0,1,0,3,20:35,22,2024,202324,0,20:35,20:35,1235,FLA,FLA
2024-01-21,@ CAR,3,0,3,3,0,0,0,0,0,0,0,5,20:18,19,2024,202324,0,20:18,20:18,1218,CAR,CAR
2024-01-23,vs WSH,0,0,0,1,0,0,0,0,0,0,0,0,18:36,18,2024,202324,1,18:36,18:36,1116,WSH,WSH
2024-01-25,vs NSH,0,2,2,-2,2,0,0,0,0,0,0,2,22:20,25,2024,202324,1,22:20,22:20,1340,NSH,NSH
2024-01-27,vs ANA,1,0,1,2,0,0,0,0,0,0,0,4,26:35,22,2024,202324,1,26:35,26:35,1595,ANA,ANA
2024-02-07,@ CHI,0,0,0,-1,0,0,0,0,0,0,0,3,21:05,23,2024,202324,0,21:05,21:05,1265,CHI,CHI
2024-02-09,vs PIT,1,1,2,0,4,0,0,0,0,1,0,2,21:01,27,2024,202324,1,21:01,21:01,1261,PIT,PIT
2024-02-12,@ VEG,0,2,2,1,0,0,0,0,0,0,0,6,19:47,18,2024,202324,0,19:47,19:47,1187,VEG,VEG
2024-02-14,@ ARI,0,1,1,1,0,0,0,0,0,0,0,8,23:36,21,2024,202324,0,23:36,23:36,1416,ARI,ARI
2024-02-17,vs BUF,0,1,1,-1,0,0,0,0,0,0,0,4,20:12,23,2024,202324,1,20:12,20:12,1212,BUF,BUF
2024-02-19,vs VAN,3,3,6,2,0,1,1,0,0,1,0,7,20:41,23,2024,202324,1,20:41,20:41,1241,VAN,VAN
2024-02-20,@ WPG,1,1,2,-2,0,1,1,0,0,0,0,3,17:28,20,2024,202324,0,17:28,17:28,1048,WPG,WPG
2024-02-23,@ EDM,0,1,1,2,0,0,0,0,0,0,0,3,20:29,21,2024,202324,0,20:29,20:29,1229,EDM,EDM
2024-02-24,@ SEA,2,1,3,0,0,1,1,0,0,0,0,4,21:11,19,2024,202324,0,21:11,21:11,1271,SEA,SEA
2024-02-27,vs CAR,0,0,0,-1,0,0,0,0,0,0,0,6,22:58,20,2024,202324,1,22:58,22:58,1378,CAR,CAR
2024-02-29,@ NSH,0,0,0,0,0,0,0,0,0,0,0,4,21:02,19,2024,202324,0,21:02,21:02,1262,NSH,NSH
2024-03-02,@ STL,0,0,0,-1,0,0,0,0,0,0,0,3,22:16,18,2024,202324,0,22:16,22:16,1336,STL,STL
2024-03-03,vs SJS,3,0,3,1,0,0,0,0,0,1,0,5,22:18,24,2024,202324,1,22:18,22:18,1338,SJS,SJS
2024-03-07,@ ARI,1,0,1,2,0,1,1,0,0,0,0,1,18:58,21,2024,202324,0,18:58,18:58,1138,ARI,ARI
2024-03-08,@ COL,0,1,1,0,2,0,0,0,0,0,0,3,21:23,22,2024,202324,0,21:23,21:23,1283,COL,COL
2024-03-10,vs NSH,1,1,2,1,0,1,1,0,0,0,0,2,24:25,27,2024,202324,1,24:25,24:25,1465,NSH,NSH
2024-03-12,vs ARI,2,1,3,1,0,0,0,0,0,0,0,3,22:10,22,2024,202324,1,22:10,22:10,1330,ARI,ARI
