Date,Team,Goals,Assists,Points,Plusminus,PIM,PPG,PPP,SHG,SHP,GWG,OTG,Shots,TOI,Shifts,Year,season,Home,toi2,toi3,toi_seconds,opponent,opp_2
2023-10-12,@ MIN,0,0,0,0,0,0,0,0,0,0,0,10,21:29,20,2023,202324,0,21:29,21:29,1289,MIN,MIN
2023-10-14,@ WPG,0,2,2,-1,7,0,0,0,0,0,0,2,17:21,21,2023,202324,0,17:21,17:21,1041,WPG,WPG
2023-10-16,@ NJD,0,2,2,1,2,0,0,0,0,0,0,4,19:41,23,2023,202324,0,19:41,19:41,1181,NJD,NJD
2023-10-19,vs TOR,0,0,0,0,0,0,0,0,0,0,0,3,17:50,22,2023,202324,1,17:50,17:50,1070,TOR,TOR
2023-10-21,vs VAN,0,0,0,-2,0,0,0,0,0,0,0,2,18:45,21,2023,202324,1,18:45,18:45,1125,VAN,VAN
2023-10-24,vs SJS,0,2,2,2,0,0,0,0,0,0,0,7,21:16,23,2023,202324,1,21:16,21:16,1276,SJS,SJS
2023-10-28,vs SEA,1,0,1,1,0,0,0,0,0,0,0,4,18:24,25,2023,202324,1,18:24,18:24,1104,SEA,SEA
2023-10-30,@ BOS,0,0,0,-1,0,0,0,0,0,0,0,2,22:24,24,2023,202324,0,22:24,22:24,1344,BOS,BOS
2023-11-02,@ DET,0,1,1,1,0,0,0,0,0,0,0,5,21:07,20,2023,202324,0,21:07,21:07,1267,DET,DET
2023-11-04,@ CHI,1,0,1,-1,0,0,0,0,0,0,0,8,20:05,21,2023,202324,0,20:05,20:05,1205,CHI,CHI
2023-11-06,vs CBJ,0,1,1,0,0,0,0,0,0,0,0,7,20:49,23,2023,202324,1,20:49,20:49,1249,CBJ,CBJ
2023-11-08,@ WSH,0,1,1,-1,0,0,0,0,0,0,0,1,18:41,20,2023,202324,0,18:41,18:41,1121,WSH,WSH
2023-11-10,vs CAR,1,1,2,3,0,0,0,0,0,0,0,2,16:49,20,2023,202324,1,16:49,16:49,1009,CAR,CAR
2023-11-12,vs CHI,0,2,2,-1,0,0,0,0,0,0,0,2,18:40,21,2023,202324,1,18:40,18:40,1120,CHI,CHI
2023-11-14,@ SJS,0,2,2,-1,0,0,0,0,0,0,0,4,17:18,20,2023,202324,0,17:18,17:18,1038,SJS,SJS
2023-11-16,@ LAK,0,0,0,-1,2,0,0,0,0,0,0,6,22:02,23,2023,202324,0,22:02,22:02,1322,LAK,LAK
2023-11-17,@ ANA,0,0,0,0,0,0,0,0,0,0,0,3,20:37,23,2023,202324,0,20:37,20:37,1237,ANA,ANA
2023-11-20,vs EDM,0,0,0,1,0,0,0,0,0,0,0,3,20:15,24,2023,202324,1,20:15,20:15,1215,EDM,EDM
2023-11-22,vs BOS,0,0,0,-1,2,0,0,0,0,0,0,7,22:27,25,2023,202324,1,22:27,22:27,1347,BOS,BOS
2023-11-24,vs WPG,0,0,0,-1,2,0,0,0,0,0,0,4,15:18,20,2023,202324,1,15:18,15:18,918,WPG,WPG
2023-11-27,@ OTT,0,1,1,0,11,0,0,0,0,0,0,2,16:33,20,2023,202324,0,16:33,16:33,993,OTT,OTT
2023-11-28,@ TOR,0,0,0,0,0,0,0,0,0,0,0,3,17:06,25,2023,202324,0,17:06,17:06,1026,TOR,TOR
2023-11-30,@ MTL,0,0,0,0,0,0,0,0,0,0,0,2,15:49,21,2023,202324,0,15:49,15:49,949,MTL,MTL
2023-12-02,vs NYI,1,0,1,2,0,0,0,0,0,0,0,2,21:13,23,2023,202324,1,21:13,21:13,1273,NYI,NYI
2023-12-06,vs DAL,0,0,0,1,0,0,0,0,0,0,0,5,14:24,20,2023,202324,1,14:24,14:24,864,DAL,DAL
2023-12-08,vs PIT,0,0,0,-1,0,0,0,0,0,0,0,2,16:54,22,2023,202324,1,16:54,16:54,1014,PIT,PIT
