Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
1,2023-10-12,1,25-305,FLA,@,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,10,0.0,20,21:29,1,0,0,0,
2,2023-10-14,2,25-307,FLA,@,WPG,L,0,2,2,-1,7,0,0,0,0,1,1,0,2,0.0,21,17:21,1,0,0,0,
3,2023-10-16,3,25-309,FLA,@,NJD,W,0,2,2,1,2,0,0,0,0,2,0,0,4,0.0,23,19:41,5,1,0,0,
4,2023-10-19,4,25-312,FLA,,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,22,17:50,1,0,0,0,
5,2023-10-21,5,25-314,FLA,,VAN,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,21,18:45,1,1,0,0,
6,2023-10-24,6,25-317,FLA,,SJS,W,0,2,2,2,0,0,0,0,0,2,0,0,7,0.0,23,21:16,0,0,0,0,
7,2023-10-28,7,25-321,FLA,,SEA,W,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,25,18:24,0,0,0,0,
8,2023-10-30,8,25-323,FLA,@,BOS,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,24,22:24,3,1,0,0,
9,2023-11-02,9,25-326,FLA,@,DET,W,0,1,1,1,0,0,0,0,0,1,0,0,5,0.0,20,21:07,0,0,1,0,100.0
10,2023-11-04,10,25-328,FLA,@,CHI,L,1,0,1,-1,0,1,0,0,0,0,0,0,8,12.5,21,20:05,0,0,0,0,
11,2023-11-06,11,25-330,FLA,,CBJ,W,0,1,1,0,0,0,0,0,0,1,0,0,7,0.0,23,20:49,0,0,0,0,
12,2023-11-08,12,25-332,FLA,@,WSH,W,0,1,1,-1,0,0,0,0,0,1,0,0,1,0.0,20,18:41,0,2,0,0,
13,2023-11-10,13,25-334,FLA,,CAR,W,1,1,2,3,0,1,0,0,0,1,0,0,2,50.0,20,16:49,1,0,0,0,
14,2023-11-12,14,25-336,FLA,,CHI,W,0,2,2,-1,0,0,0,0,0,0,2,0,2,0.0,21,18:40,1,1,0,0,
15,2023-11-14,15,25-338,FLA,@,SJS,W,0,2,2,-1,0,0,0,0,0,0,2,0,4,0.0,20,17:18,1,0,0,1,0.0
16,2023-11-16,16,25-340,FLA,@,LAK,L,0,0,0,-1,2,0,0,0,0,0,0,0,6,0.0,23,22:02,4,0,0,0,
17,2023-11-17,17,25-341,FLA,@,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,23,20:37,1,2,0,0,
18,2023-11-20,18,25-344,FLA,,EDM,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,24,20:15,3,0,0,0,
19,2023-11-22,19,25-346,FLA,,BOS,L,0,0,0,-1,2,0,0,0,0,0,0,0,7,0.0,25,22:27,0,0,0,0,
20,2023-11-24,20,25-348,FLA,,WPG,L,0,0,0,-1,2,0,0,0,0,0,0,0,4,0.0,20,15:18,2,0,0,0,
21,2023-11-27,21,25-351,FLA,@,OTT,W,0,1,1,0,11,0,0,0,0,0,1,0,2,0.0,20,16:33,4,0,0,0,
22,2023-11-28,22,25-352,FLA,@,TOR,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,25,17:06,3,0,0,0,
23,2023-11-30,23,25-354,FLA,@,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,15:49,2,1,0,0,
24,2023-12-02,24,25-356,FLA,,NYI,L,1,0,1,2,0,1,0,0,0,0,0,0,2,50.0,23,21:13,0,1,0,0,
25,2023-12-06,25,25-360,FLA,,DAL,W,0,0,0,1,0,0,0,0,0,0,0,0,5,0.0,20,14:24,0,0,0,0,
26,2023-12-08,26,25-362,FLA,,PIT,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,22,16:54,0,0,0,0,
27,2023-12-10,27,25-364,FLA,@,CBJ,W,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,21,18:37,0,0,0,0,
28,2023-12-12,28,26-001,FLA,@,SEA,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,22,18:30,2,0,0,0,
29,2023-12-14,29,26-003,FLA,@,VAN,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,23,20:25,2,1,0,0,
