Date,Team,Goals,Assists,Points,Plusminus,PIM,PPG,PPP,SHG,SHP,GWG,OTG,Shots,TOI,Shifts,Year,season,Home,toi2,toi3,toi_seconds,opponent,opp_2
2023-10-10,vs CHI,1,0,1,-2,0,0,0,0,0,0,0,4,18:28,21,2023,202324,1,18:28,18:28,1108,CHI,CHI
2023-10-13,@ WSH,2,0,2,0,0,2,2,0,0,0,0,5,17:43,22,2023,202324,0,17:43,17:43,1063,WSH,WSH
2023-10-14,vs CGY,0,1,1,2,2,0,0,0,0,0,0,3,18:04,22,2023,202324,1,18:04,18:04,1084,CGY,CGY
2023-10-18,@ DET,0,1,1,1,0,0,0,0,0,0,0,3,21:30,25,2023,202324,0,21:30,21:30,1290,DET,DET
2023-10-21,@ STL,0,0,0,-2,0,0,0,0,0,0,0,3,19:57,20,2023,202324,0,19:57,19:57,1197,STL,STL
2023-10-24,vs DAL,0,1,1,0,0,0,0,0,0,0,0,3,19:10,24,2023,202324,1,19:10,19:10,1150,DAL,DAL
2023-10-26,vs COL,1,0,1,1,0,0,0,0,0,0,0,4,15:08,21,2023,202324,1,15:08,15:08,908,COL,COL
2023-10-28,vs OTT,1,1,2,0,2,0,0,0,0,0,0,3,18:36,25,2023,202324,1,18:36,18:36,1116,OTT,OTT
2023-10-30,vs ANA,0,1,1,-2,2,0,0,0,0,0,0,11,23:05,20,2023,202324,1,23:05,23:05,1385,ANA,ANA
2023-11-04,@ SJS,0,1,1,4,2,0,0,0,0,0,0,1,16:09,20,2023,202324,0,16:09,16:09,969,SJS,SJS
2023-11-07,@ ANA,1,0,1,1,0,0,0,0,0,0,0,4,18:36,23,2023,202324,0,18:36,18:36,1116,ANA,ANA
2023-11-09,@ LAK,1,1,2,1,2,0,0,0,0,0,0,3,19:47,29,2023,202324,0,19:47,19:47,1187,LAK,LAK
2023-11-11,vs BUF,0,1,1,1,0,0,0,0,0,0,0,4,19:34,22,2023,202324,1,19:34,19:34,1174,BUF,BUF
2023-11-14,@ CBJ,3,1,4,3,0,0,0,0,0,1,0,3,17:30,21,2023,202324,0,17:30,17:30,1050,CBJ,CBJ
2023-11-16,vs NJD,0,1,1,1,2,0,0,0,0,0,0,3,19:52,24,2023,202324,1,19:52,19:52,1192,NJD,NJD
2023-11-18,@ CAR,2,0,2,1,0,0,0,0,0,0,0,2,17:56,26,2023,202324,0,17:56,17:56,1076,CAR,CAR
2023-11-19,vs VEG,0,0,0,1,2,0,0,0,0,0,0,4,17:22,22,2023,202324,1,17:22,17:22,1042,VEG,VEG
2023-11-22,vs NYR,0,0,0,0,0,0,0,0,0,0,0,4,21:19,24,2023,202324,1,21:19,21:19,1279,NYR,NYR
2023-11-24,@ BUF,1,0,1,0,0,0,0,0,0,0,0,5,19:14,24,2023,202324,0,19:14,19:14,1154,BUF,BUF
2023-11-25,vs TOR,0,1,1,0,0,0,0,0,0,0,0,5,21:26,24,2023,202324,1,21:26,21:26,1286,TOR,TOR
2023-11-28,@ NSH,0,0,0,0,0,0,0,0,0,0,0,3,20:17,24,2023,202324,0,20:17,20:17,1217,NSH,NSH
2023-11-30,@ TBL,1,0,1,1,0,0,0,0,0,0,0,5,19:19,24,2023,202324,0,19:19,19:19,1159,TBL,TBL
2023-12-02,vs PHI,0,0,0,1,0,0,0,0,0,0,0,2,25:29,26,2023,202324,1,25:29,25:29,1529,PHI,PHI
2023-12-04,@ PHI,1,0,1,-1,0,0,0,0,0,0,0,4,22:31,26,2023,202324,0,22:31,22:31,1351,PHI,PHI
2023-12-06,@ TBL,0,1,1,0,0,0,0,0,0,0,0,4,23:25,25,2023,202324,0,23:25,23:25,1405,TBL,TBL
