,Date,Vs,Opponent
1,"Wed, Oct 09",@,Vegas
2,"Sat, Oct 12",vs,Columbus
3,"Mon, Oct 14",vs,New York Islanders
4,"Wed, Oct 16",vs,Boston
5,"Fri, Oct 18",vs,Anaheim
6,"Sun, Oct 20",@,San Jose
7,"Tue, Oct 22",@,Seattle
8,"Thu, Oct 24",@,Arizona
9,"Sun, Oct 27",vs,Ottawa
10,"Mon, Oct 28",vs,Chicago
11,"Wed, Oct 30",vs,Tampa Bay
12,"Sat, Nov 02",@,Nashville
13,"Tue, Nov 05",vs,Seattle
14,"Thu, Nov 07",@,Winnipeg
15,"Sat, Nov 09",vs,Carolina
16,"Mon, Nov 11",vs,Nashville
17,"Wed, Nov 13",vs,Los Angeles
18,"Fri, Nov 15",vs,Washington
19,"Mon, Nov 18",@,Philadelphia
20,"Thu, Nov 21",@,Washington
21,"Sat, Nov 23",@,Florida
22,"Mon, Nov 25",@,Tampa Bay
23,"Wed, Nov 27",vs,Vegas
24,"Fri, Nov 29",@,Dallas
25,"Sat, Nov 30",vs,Edmonton
26,"Tue, Dec 03",@,Buffalo
27,"Thu, Dec 05",@,Carolina
28,"Sat, Dec 07",@,Detroit
29,"Sun, Dec 08",@,New Jersey
30,"Tue, Dec 10",@,Pittsburgh
31,"Thu, Dec 12",vs,Arizona
32,"Sat, Dec 14",vs,Nashville
33,"Mon, Dec 16",@,Vancouver
34,"Thu, Dec 19",@,San Jose
35,"Fri, Dec 20",@,Anaheim
36,"Sun, Dec 22",vs,Seattle
37,"Fri, Dec 27",@,Arizona
38,"Tue, Dec 31",vs,Winnipeg
39,"Thu, Jan 02",vs,Buffalo
40,"Sat, Jan 04",vs,Montreal
41,"Mon, Jan 06",vs,Florida
42,"Wed, Jan 08",@,Chicago
43,"Thu, Jan 09",@,Minnesota
44,"Sat, Jan 11",@,Winnipeg
45,"Tue, Jan 14",vs,New York Rangers
46,"Thu, Jan 16",vs,Edmonton
47,"Sat, Jan 18",vs,Dallas
48,"Mon, Jan 20",vs,Minnesota
49,"Wed, Jan 22",vs,Winnipeg
50,"Sat, Jan 25",@,Boston
51,"Sun, Jan 26",@,New York Rangers
52,"Tue, Jan 28",@,New York Islanders
53,"Fri, Jan 31",vs,St. Louis
54,"Sun, Feb 02",vs,Philadelphia
55,"Tue, Feb 04",@,Vancouver
56,"Thu, Feb 06",@,Calgary
57,"Fri, Feb 07",@,Edmonton
58,"Sat, Feb 22",@,Nashville
59,"Sun, Feb 23",@,St. Louis
60,"Wed, Feb 26",vs,New Jersey
61,"Fri, Feb 28",vs,Minnesota
62,"Tue, Mar 04",vs,Pittsburgh
63,"Thu, Mar 06",vs,San Jose
64,"Sat, Mar 08",vs,Toronto
65,"Mon, Mar 10",vs,Chicago
66,"Tue, Mar 11",@,Minnesota
67,"Fri, Mar 14",@,Calgary
68,"Sun, Mar 16",vs,Dallas
69,"Wed, Mar 19",@,Toronto
70,"Thu, Mar 20",@,Ottawa
71,"Sat, Mar 22",@,Montreal
72,"Tue, Mar 25",vs,Detroit
73,"Thu, Mar 27",vs,Los Angeles
74,"Sat, Mar 29",vs,St. Louis
75,"Mon, Mar 31",vs,Calgary
76,"Wed, Apr 02",@,Chicago
77,"Thu, Apr 03",@,Columbus
78,"Sat, Apr 05",@,St. Louis
79,"Tue, Apr 08",vs,Vegas
80,"Thu, Apr 10",vs,Vancouver
81,"Sat, Apr 12",@,Los Angeles
82,"Sun, Apr 13",@,Anaheim
