Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
1,2023-10-11,1,24-346,COL,@,LAK,W,1,1,2,3,4,0,1,0,0,1,0,0,5,20.0,28,22:22,1,2,0,0,
2,2023-10-14,2,24-349,COL,@,SJS,W,1,0,1,1,0,1,0,0,0,0,0,0,5,20.0,30,27:46,1,4,0,0,
3,2023-10-17,3,24-352,COL,@,SEA,W,0,1,1,2,0,0,0,0,0,0,0,1,2,0.0,28,22:08,0,1,0,0,
4,2023-10-19,4,24-354,COL,,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,25,24:52,2,1,0,0,
5,2023-10-21,5,24-356,COL,,CAR,W,0,2,2,0,2,0,0,0,0,0,2,0,3,0.0,28,23:53,1,3,0,0,
6,2023-10-24,6,24-359,COL,@,NYI,W,1,2,3,1,0,1,0,0,0,1,1,0,1,100.0,27,24:39,0,2,0,0,
7,2023-10-26,7,24-361,COL,@,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,25,23:07,0,1,0,0,
8,2023-10-29,8,24-364,COL,@,BUF,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,20,21:58,0,1,0,0,
9,2023-11-01,9,25-002,COL,,STL,W,0,2,2,0,0,0,0,0,0,1,1,0,3,0.0,25,25:22,0,1,0,0,
10,2023-11-04,10,25-005,COL,@,VEG,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,25,21:55,1,1,0,0,
11,2023-11-07,11,25-008,COL,,NJD,W,0,3,3,4,0,0,0,0,0,1,1,1,2,0.0,26,25:21,0,1,0,0,
12,2023-11-09,12,25-010,COL,,SEA,L,0,1,1,2,0,0,0,0,0,1,0,0,3,0.0,27,24:25,2,3,0,0,
13,2023-11-11,13,25-012,COL,,STL,L,0,1,1,-2,2,0,0,0,0,1,0,0,5,0.0,25,22:09,0,3,0,0,
14,2023-11-13,14,25-014,COL,@,SEA,W,1,1,2,1,0,1,0,0,0,0,1,0,3,33.3,30,23:28,0,1,0,0,
15,2023-11-15,15,25-016,COL,,ANA,W,0,3,3,2,0,0,0,0,0,2,1,0,5,0.0,25,22:13,0,1,0,0,
16,2023-11-18,16,25-019,COL,@,DAL,W,0,3,3,2,0,0,0,0,0,2,1,0,2,0.0,28,26:14,1,3,0,0,
17,2023-11-20,17,25-021,COL,@,NSH,L,0,3,3,0,0,0,0,0,0,1,1,1,1,0.0,24,25:02,0,1,0,0,
18,2023-11-22,18,25-023,COL,,VAN,W,1,1,2,3,0,1,0,0,0,1,0,0,3,33.3,27,24:36,2,1,0,0,
19,2023-11-24,19,25-025,COL,@,MIN,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,28,28:48,0,2,0,0,
20,2023-11-25,20,25-026,COL,,CGY,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,26,22:33,0,3,0,0,
21,2023-11-27,21,25-028,COL,,TBL,W,1,1,2,2,2,0,1,0,0,1,0,0,3,33.3,25,26:28,1,1,0,0,
22,2023-11-30,22,25-031,COL,@,ARI,L-OT,1,1,2,-2,0,0,1,0,0,0,1,0,4,25.0,28,28:15,0,2,0,0,
23,2023-12-02,23,25-033,COL,@,ANA,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,25:03,1,1,0,0,
24,2023-12-07,24,25-038,COL,,WPG,L,0,0,0,-2,0,0,0,0,0,0,0,0,4,0.0,24,24:10,0,1,0,0,
