,Date,Vs,Opponent
1,"Fri, Oct 04",@,Buffalo
2,"Sat, Oct 05",vs,Buffalo
3,"Thu, Oct 10",vs,Toronto
4,"Sat, Oct 12",@,Washington
5,"Mon, Oct 14",vs,Arizona
6,"Tue, Oct 15",@,Carolina
7,"Thu, Oct 17",@,Ottawa
8,"Sat, Oct 19",vs,Washington
9,"Tue, Oct 22",vs,Tampa Bay
10,"Thu, Oct 24",@,Detroit
11,"Fri, Oct 25",vs,New York Islanders
12,"Sun, Oct 27",vs,Anaheim
13,"Wed, Oct 30",@,Vancouver
14,"Fri, Nov 01",@,Calgary
15,"Mon, Nov 04",@,Edmonton
16,"Thu, Nov 07",vs,Montreal
17,"Sat, Nov 09",@,New York Islanders
18,"Sun, Nov 10",vs,San Jose
19,"Tue, Nov 12",@,Florida
20,"Thu, Nov 14",@,Florida
21,"Sat, Nov 16",@,Tampa Bay
22,"Thu, Nov 21",vs,Carolina
23,"Sat, Nov 23",@,Washington
24,"Mon, Nov 25",vs,Nashville
25,"Wed, Nov 27",vs,St. Louis
26,"Fri, Nov 29",@,Detroit
27,"Sat, Nov 30",vs,Washington
28,"Mon, Dec 02",@,New York Rangers
29,"Fri, Dec 06",vs,Seattle
30,"Sun, Dec 08",vs,Colorado
31,"Tue, Dec 10",vs,Toronto
32,"Thu, Dec 12",vs,Los Angeles
33,"Sat, Dec 14",vs,Chicago
34,"Tue, Dec 17",@,St. Louis
35,"Thu, Dec 19",@,Columbus
36,"Sat, Dec 21",vs,Pittsburgh
37,"Mon, Dec 23",vs,New York Rangers
38,"Fri, Dec 27",vs,Carolina
39,"Sat, Dec 28",@,Carolina
40,"Tue, Dec 31",@,Anaheim
41,"Wed, Jan 01",@,Los Angeles
42,"Sat, Jan 04",@,San Jose
43,"Mon, Jan 06",@,Seattle
44,"Thu, Jan 09",@,New York Rangers
45,"Sat, Jan 11",vs,Tampa Bay
46,"Tue, Jan 14",vs,Florida
47,"Thu, Jan 16",@,Toronto
48,"Sat, Jan 18",vs,Philadelphia
49,"Sun, Jan 19",vs,Ottawa
50,"Wed, Jan 22",vs,Boston
51,"Sat, Jan 25",@,Montreal
52,"Mon, Jan 27",@,Philadelphia
53,"Wed, Jan 29",vs,Philadelphia
54,"Sun, Feb 02",@,Buffalo
55,"Tue, Feb 04",@,Pittsburgh
56,"Thu, Feb 06",vs,Vegas
57,"Sat, Feb 08",@,Montreal
58,"Sat, Feb 22",vs,Dallas
59,"Sun, Feb 23",@,Nashville
60,"Wed, Feb 26",@,Colorado
61,"Sat, Mar 01",@,Arizona
62,"Sun, Mar 02",@,Vegas
63,"Tue, Mar 04",@,Dallas
64,"Fri, Mar 07",vs,Winnipeg
65,"Sun, Mar 09",@,Philadelphia
66,"Tue, Mar 11",vs,Columbus
67,"Thu, Mar 13",vs,Edmonton
68,"Sat, Mar 15",@,Pittsburgh
69,"Mon, Mar 17",@,Columbus
70,"Thu, Mar 20",vs,Calgary
71,"Sat, Mar 22",vs,Ottawa
72,"Mon, Mar 24",vs,Vancouver
73,"Wed, Mar 26",@,Chicago
74,"Fri, Mar 28",@,Winnipeg
75,"Sat, Mar 29",@,Minnesota
76,"Mon, Mar 31",vs,Minnesota
77,"Sat, Apr 05",vs,New York Rangers
78,"Tue, Apr 08",vs,Boston
79,"Fri, Apr 11",vs,Pittsburgh
80,"Sun, Apr 13",vs,New York Islanders
81,"Tue, Apr 15",@,Boston
82,"Wed, Apr 16",vs,Detroit
