Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
1,2023-10-12,1,26-169,MIN,,FLA,W,0,1,1,0,0,0,0,0,0,0,1,0,4,0.0,18,19:28,0,1,0,0,
2,2023-10-14,2,26-171,MIN,@,TOR,L,0,1,1,-2,0,0,0,0,0,1,0,0,2,0.0,21,22:04,1,0,0,0,
3,2023-10-17,3,26-174,MIN,@,MTL,W,1,2,3,-1,0,0,1,0,0,0,2,0,6,16.7,19,22:04,0,0,0,0,
4,2023-10-19,4,26-176,MIN,,LAK,L,1,0,1,-2,0,1,0,0,0,0,0,0,4,25.0,20,20:40,1,0,0,0,
5,2023-10-21,5,26-178,MIN,,CBJ,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,22,21:54,0,2,0,0,
6,2023-10-24,6,26-181,MIN,,EDM,W,0,3,3,3,0,0,0,0,0,3,0,0,3,0.0,17,18:05,0,0,0,0,
7,2023-10-26,7,26-183,MIN,@,PHI,L,0,0,0,-3,0,0,0,0,0,0,0,0,3,0.0,18,22:48,0,2,0,0,
8,2023-10-27,8,26-184,MIN,@,WSH,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,23,24:56,0,0,0,0,
9,2023-10-29,9,26-186,MIN,@,NJD,L,0,0,0,-1,0,0,0,0,0,0,0,0,6,0.0,21,27:30,1,1,0,0,
10,2023-11-02,10,26-190,MIN,,NJD,L,1,0,1,1,2,0,1,0,0,0,0,0,2,50.0,20,22:04,1,0,0,0,
11,2023-11-04,11,26-192,MIN,,NYR,W,0,1,1,-1,0,0,0,0,0,1,0,0,6,0.0,19,24:11,0,0,0,0,
12,2023-11-07,12,26-195,MIN,@,NYI,W,1,0,1,0,0,0,1,0,1,0,0,0,4,25.0,17,17:13,0,0,0,1,0.0
13,2023-11-09,13,26-197,MIN,@,NYR,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,16,19:34,1,0,0,0,
14,2023-11-10,14,26-198,MIN,@,BUF,L,1,1,2,-1,2,0,1,0,0,0,1,0,4,25.0,19,20:56,0,0,0,0,
15,2023-11-12,15,26-200,MIN,,DAL,L,0,1,1,-2,0,0,0,0,0,0,1,0,1,0.0,18,16:49,2,0,0,0,
16,2023-11-18,16,26-206,MIN,@,OTT,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,23,21:31,3,0,0,0,
17,2023-11-19,17,26-207,MIN,,TOR,L-OT,0,0,0,2,0,0,0,0,0,0,0,0,4,0.0,21,19:39,2,1,0,0,
18,2023-11-24,18,26-212,MIN,,COL,L,1,1,2,0,0,1,0,0,0,0,1,0,1,100.0,18,19:45,1,0,0,0,
19,2023-11-26,19,26-214,MIN,@,DET,L,0,1,1,-2,0,0,0,0,0,0,1,0,6,0.0,18,25:08,1,1,0,0,
20,2023-11-28,20,26-216,MIN,,STL,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,19,19:38,0,1,0,0,
21,2023-11-30,21,26-218,MIN,@,NSH,W,1,1,2,2,6,0,1,0,0,1,0,0,1,100.0,20,17:35,0,1,0,0,
22,2023-12-03,22,26-221,MIN,,CHI,W,0,1,1,2,0,0,0,0,0,1,0,0,2,0.0,17,17:22,0,0,0,0,
23,2023-12-05,23,26-223,MIN,@,CGY,W,1,1,2,1,0,1,0,0,0,0,1,0,5,20.0,23,21:37,0,1,0,0,
24,2023-12-07,24,26-225,MIN,@,VAN,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,23,20:41,0,0,0,0,
25,2023-12-08,25,26-226,MIN,@,EDM,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,22,21:53,1,0,0,0,
26,2023-12-10,26,26-228,MIN,@,SEA,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,19,17:38,1,3,0,0,
27,2023-12-14,27,26-232,MIN,,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,20:24,0,0,0,0,
28,2023-12-16,28,26-234,MIN,,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,24,22:07,0,0,0,0,
29,2023-12-18,29,26-236,MIN,@,PIT,L,0,1,1,1,2,0,0,0,0,1,0,0,3,0.0,19,20:58,0,0,0,0,
30,2023-12-19,30,26-237,MIN,@,BOS,W,2,0,2,1,0,2,0,0,1,0,0,0,7,28.6,26,25:03,2,0,0,0,
31,2023-12-21,31,26-239,MIN,,MTL,W,1,2,3,2,0,1,0,0,1,0,2,0,2,50.0,28,29:09,0,1,0,0,
32,2023-12-23,32,26-241,MIN,,BOS,W,1,0,1,1,2,1,0,0,0,0,0,0,2,50.0,25,21:34,1,0,0,0,
33,2023-12-27,33,26-245,MIN,,DET,W,1,1,2,1,0,1,0,0,0,1,0,0,6,16.7,20,20:15,0,1,0,0,
34,2023-12-30,34,26-248,MIN,@,WPG,L,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,16,15:30,0,1,0,0,
35,2024-01-13,35,26-262,MIN,,ARI,L,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,20,20:34,2,0,0,0,
36,2024-01-15,36,26-264,MIN,,NYI,W,0,1,1,0,4,0,0,0,0,0,1,0,5,0.0,19,17:23,0,1,0,0,
37,2024-01-18,37,26-267,MIN,@,TBL,L,0,1,1,3,2,0,0,0,0,1,0,0,3,0.0,21,21:51,0,0,0,0,
38,2024-01-19,38,26-268,MIN,@,FLA,W,2,1,3,-3,0,0,2,0,1,0,1,0,3,66.7,22,20:35,2,0,0,0,
39,2024-01-21,39,26-270,MIN,@,CAR,W,3,0,3,3,0,3,0,0,0,0,0,0,5,60.0,19,20:18,1,2,0,0,
40,2024-01-23,40,26-272,MIN,,WSH,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,18,18:36,0,1,0,0,
41,2024-01-25,41,26-274,MIN,,NSH,L,0,2,2,-2,2,0,0,0,0,0,2,0,2,0.0,25,22:20,0,2,0,0,
42,2024-01-27,42,26-276,MIN,,ANA,L,1,0,1,2,0,1,0,0,0,0,0,0,4,25.0,22,26:35,0,0,0,0,
43,2024-02-07,43,26-287,MIN,@,CHI,W,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,23,21:05,0,0,0,0,
44,2024-02-09,44,26-289,MIN,,PIT,W,1,1,2,0,4,1,0,0,1,0,1,0,2,50.0,27,21:01,0,1,0,0,
45,2024-02-12,45,26-292,MIN,@,VEG,W,0,2,2,1,0,0,0,0,0,1,1,0,6,0.0,18,19:47,1,0,0,0,
46,2024-02-14,46,26-294,MIN,@,ARI,W,0,1,1,1,0,0,0,0,0,0,1,0,8,0.0,21,23:36,2,1,0,0,
47,2024-02-17,47,26-297,MIN,,BUF,L-OT,0,1,1,-1,0,0,0,0,0,1,0,0,4,0.0,23,20:12,1,1,0,0,
48,2024-02-19,48,26-299,MIN,,VAN,W,3,3,6,2,0,2,1,0,1,1,2,0,7,42.9,23,20:41,0,2,0,0,
49,2024-02-20,49,26-300,MIN,@,WPG,L,1,1,2,-2,0,0,1,0,0,1,0,0,3,33.3,20,17:28,0,0,0,0,
50,2024-02-23,50,26-303,MIN,@,EDM,W,0,1,1,2,0,0,0,0,0,1,0,0,3,0.0,21,20:29,2,1,0,0,
51,2024-02-24,51,26-304,MIN,@,SEA,W,2,1,3,0,0,1,1,0,0,0,1,0,4,50.0,19,21:11,1,0,0,0,
52,2024-02-27,52,26-307,MIN,,CAR,L,0,0,0,-1,0,0,0,0,0,0,0,0,6,0.0,20,22:58,2,1,0,0,
53,2024-02-29,53,26-309,MIN,@,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,19,21:02,2,2,0,0,
54,2024-03-02,54,26-311,MIN,@,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,18,22:16,0,0,0,0,
55,2024-03-03,55,26-312,MIN,,SJS,W,3,0,3,1,0,3,0,0,1,0,0,0,5,60.0,24,22:18,2,0,0,0,
56,2024-03-07,56,26-316,MIN,@,ARI,W,1,0,1,2,0,0,1,0,0,0,0,0,1,100.0,21,18:58,2,0,0,0,
57,2024-03-08,57,26-317,MIN,@,COL,L-OT,0,1,1,0,2,0,0,0,0,1,0,0,3,0.0,22,21:23,0,0,0,0,
58,2024-03-10,58,26-319,MIN,,NSH,W,1,1,2,1,0,0,1,0,0,1,0,0,2,50.0,27,24:25,4,1,0,0,
59,2024-03-12,59,26-321,MIN,,ARI,W,2,1,3,1,0,2,0,0,0,0,1,0,3,66.7,22,22:10,0,0,0,0,
60,2024-03-14,60,26-323,MIN,,ANA,W,1,0,1,1,0,1,0,0,0,0,0,0,8,12.5,20,21:19,2,0,0,0,
61,2024-03-16,61,26-325,MIN,@,STL,L-SO,1,1,2,1,0,1,0,0,0,1,0,0,4,25.0,29,24:01,2,1,0,0,
62,2024-03-19,62,26-328,MIN,@,ANA,W,1,0,1,0,0,0,1,0,0,0,0,0,5,20.0,17,20:41,0,0,0,0,
63,2024-03-20,63,26-329,MIN,@,LAK,L,0,0,0,-2,0,0,0,0,0,0,0,0,4,0.0,19,22:41,0,0,0,0,
