,Date,Vs,Opponent
1,"Tue, Oct 08",vs,Boston
2,"Thu, Oct 10",@,Ottawa
3,"Sat, Oct 12",@,Buffalo
4,"Mon, Oct 14",@,Boston
5,"Tue, Oct 15",@,Columbus
6,"Thu, Oct 17",vs,Vancouver
7,"Sat, Oct 19",vs,Vegas
8,"Tue, Oct 22",vs,Minnesota
9,"Thu, Oct 24",@,New York Rangers
10,"Sat, Oct 26",@,New York Islanders
11,"Mon, Oct 28",@,Buffalo
12,"Fri, Nov 01",@,Dallas
13,"Sat, Nov 02",vs,Dallas
14,"Thu, Nov 07",vs,Nashville
15,"Sat, Nov 09",vs,Philadelphia
16,"Tue, Nov 12",vs,New Jersey
17,"Thu, Nov 14",vs,New Jersey
18,"Sat, Nov 16",vs,Winnipeg
19,"Tue, Nov 19",@,Winnipeg
20,"Thu, Nov 21",@,Chicago
21,"Sat, Nov 23",vs,Colorado
22,"Mon, Nov 25",vs,Washington
23,"Wed, Nov 27",vs,Toronto
24,"Fri, Nov 29",@,Carolina
25,"Sat, Nov 30",vs,Carolina
26,"Tue, Dec 03",@,Pittsburgh
27,"Thu, Dec 05",@,Philadelphia
28,"Sat, Dec 07",vs,San Jose
29,"Tue, Dec 10",@,Seattle
30,"Thu, Dec 12",@,Vancouver
31,"Sat, Dec 14",@,Calgary
32,"Mon, Dec 16",@,Edmonton
33,"Wed, Dec 18",@,Minnesota
34,"Fri, Dec 20",vs,St. Louis
35,"Sun, Dec 22",@,Tampa Bay
36,"Mon, Dec 23",vs,Tampa Bay
37,"Sat, Dec 28",vs,Montreal
38,"Mon, Dec 30",vs,New York Rangers
39,"Thu, Jan 02",vs,Carolina
40,"Fri, Jan 03",vs,Pittsburgh
41,"Mon, Jan 06",@,Colorado
42,"Wed, Jan 08",@,Arizona
43,"Sat, Jan 11",vs,Boston
44,"Mon, Jan 13",@,Philadelphia
45,"Tue, Jan 14",@,New Jersey
46,"Thu, Jan 16",vs,Detroit
47,"Sat, Jan 18",vs,Anaheim
48,"Tue, Jan 21",@,Anaheim
49,"Wed, Jan 22",@,Los Angeles
50,"Sat, Jan 25",@,San Jose
51,"Sun, Jan 26",@,Vegas
52,"Wed, Jan 29",vs,Los Angeles
53,"Sat, Feb 01",vs,Chicago
54,"Sun, Feb 02",vs,New York Islanders
55,"Tue, Feb 04",@,Washington
56,"Thu, Feb 06",@,St. Louis
57,"Sat, Feb 08",vs,Ottawa
58,"Sat, Feb 22",vs,Seattle
59,"Tue, Feb 25",@,Nashville
60,"Thu, Feb 27",vs,Edmonton
61,"Sat, Mar 01",vs,Calgary
62,"Mon, Mar 03",vs,Tampa Bay
63,"Thu, Mar 06",vs,Columbus
64,"Sat, Mar 08",vs,Buffalo
65,"Tue, Mar 11",@,Boston
66,"Thu, Mar 13",@,Toronto
67,"Sat, Mar 15",@,Montreal
68,"Sun, Mar 16",@,New York Islanders
69,"Thu, Mar 20",@,Columbus
70,"Sat, Mar 22",@,Washington
71,"Sun, Mar 23",vs,Pittsburgh
72,"Fri, Mar 28",vs,Arizona
73,"Sun, Mar 30",vs,Montreal
74,"Tue, Apr 01",@,Montreal
75,"Wed, Apr 02",@,Toronto
76,"Sat, Apr 05",@,Ottawa
77,"Sun, Apr 06",@,Detroit
78,"Tue, Apr 08",vs,Toronto
79,"Thu, Apr 10",vs,Detroit
80,"Sat, Apr 12",vs,Buffalo
81,"Mon, Apr 14",vs,New York Rangers
82,"Tue, Apr 15",@,Tampa Bay
