,Date,Vs,Opponent
1,"Wed, Oct 09",vs,New York Rangers
2,"Thu, Oct 10",@,Detroit
3,"Sat, Oct 12",@,Toronto
4,"Mon, Oct 14",@,Montreal
5,"Wed, Oct 16",vs,Buffalo
6,"Fri, Oct 18",vs,Carolina
7,"Sun, Oct 20",@,Winnipeg
8,"Tue, Oct 22",@,Calgary
9,"Fri, Oct 25",@,Edmonton
10,"Sat, Oct 26",@,Vancouver
11,"Tue, Oct 29",vs,Minnesota
12,"Thu, Oct 31",vs,Anaheim
13,"Sat, Nov 02",vs,Montreal
14,"Tue, Nov 05",@,New York Islanders
15,"Thu, Nov 07",@,Carolina
16,"Fri, Nov 08",@,Washington
17,"Mon, Nov 11",vs,Dallas
18,"Wed, Nov 13",vs,Detroit
19,"Fri, Nov 15",@,Columbus
20,"Sat, Nov 16",vs,San Jose
21,"Tue, Nov 19",vs,Tampa Bay
22,"Fri, Nov 22",vs,Winnipeg
23,"Sat, Nov 23",vs,Arizona
24,"Wed, Nov 27",vs,Vancouver
25,"Fri, Nov 29",@,Boston
26,"Sat, Nov 30",vs,Calgary
27,"Tue, Dec 03",vs,Florida
28,"Fri, Dec 06",@,New York Rangers
29,"Sat, Dec 07",vs,Toronto
30,"Tue, Dec 10",vs,Colorado
31,"Thu, Dec 12",@,Montreal
32,"Sat, Dec 14",@,Ottawa
33,"Tue, Dec 17",vs,Los Angeles
34,"Thu, Dec 19",@,Nashville
35,"Sat, Dec 21",@,New Jersey
36,"Mon, Dec 23",vs,Philadelphia
37,"Sat, Dec 28",@,New York Islanders
38,"Sun, Dec 29",vs,New York Islanders
39,"Tue, Dec 31",@,Detroit
40,"Fri, Jan 03",@,Florida
41,"Sun, Jan 05",@,Carolina
42,"Tue, Jan 07",vs,Columbus
43,"Thu, Jan 09",vs,Edmonton
44,"Sat, Jan 11",vs,Ottawa
45,"Sun, Jan 12",vs,Tampa Bay
46,"Tue, Jan 14",vs,Seattle
47,"Fri, Jan 17",@,Buffalo
48,"Sat, Jan 18",@,Washington
49,"Mon, Jan 20",@,Los Angeles
50,"Thu, Jan 23",@,Anaheim
51,"Sat, Jan 25",@,Seattle
52,"Mon, Jan 27",@,San Jose
53,"Wed, Jan 29",@,Arizona
54,"Sat, Feb 01",vs,Nashville
55,"Tue, Feb 04",vs,New Jersey
56,"Fri, Feb 07",@,New York Rangers
57,"Sat, Feb 08",@,Philadelphia
58,"Sat, Feb 22",vs,Washington
59,"Sun, Feb 23",vs,New York Rangers
60,"Tue, Feb 25",@,Philadelphia
61,"Thu, Feb 27",vs,Philadelphia
62,"Sat, Mar 01",vs,Boston
63,"Sun, Mar 02",vs,Toronto
64,"Tue, Mar 04",@,Colorado
65,"Fri, Mar 07",@,Vegas
66,"Sun, Mar 09",@,Minnesota
67,"Tue, Mar 11",vs,Vegas
68,"Thu, Mar 13",vs,St. Louis
69,"Sat, Mar 15",vs,New Jersey
70,"Tue, Mar 18",vs,New York Islanders
71,"Fri, Mar 21",vs,Columbus
72,"Sun, Mar 23",@,Florida
73,"Tue, Mar 25",@,Tampa Bay
74,"Thu, Mar 27",@,Buffalo
75,"Sun, Mar 30",vs,Ottawa
76,"Thu, Apr 03",@,St. Louis
77,"Sat, Apr 05",@,Dallas
78,"Sun, Apr 06",@,Chicago
79,"Tue, Apr 08",vs,Chicago
80,"Fri, Apr 11",@,New Jersey
81,"Sun, Apr 13",vs,Boston
82,"Thu, Apr 17",vs,Washington
