Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
1,2023-10-10,1,36-064,PIT,,CHI,L,1,0,1,-2,0,1,0,0,0,0,0,0,4,25.0,21,18:28,0,1,15,9,62.5
2,2023-10-13,2,36-067,PIT,@,WSH,W,2,0,2,0,0,0,2,0,0,0,0,0,5,40.0,22,17:43,2,0,15,6,71.4
3,2023-10-14,3,36-068,PIT,,CGY,W,0,1,1,2,2,0,0,0,0,1,0,0,3,0.0,22,18:04,1,1,12,14,46.2
4,2023-10-18,4,36-072,PIT,@,DET,L,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,25,21:30,1,0,15,6,71.4
5,2023-10-21,5,36-075,PIT,@,STL,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,20,19:57,1,1,11,10,52.4
6,2023-10-24,6,36-078,PIT,,DAL,L,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,24,19:10,1,0,18,10,64.3
7,2023-10-26,7,36-080,PIT,,COL,W,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,21,15:08,0,0,9,5,64.3
8,2023-10-28,8,36-082,PIT,,OTT,L,1,1,2,0,2,1,0,0,0,1,0,0,3,33.3,25,18:36,4,0,12,9,57.1
9,2023-10-30,9,36-084,PIT,,ANA,L,0,1,1,-2,2,0,0,0,0,0,1,0,11,0.0,20,23:05,1,0,20,12,62.5
10,2023-11-04,10,36-089,PIT,@,SJS,W,0,1,1,4,2,0,0,0,0,1,0,0,1,0.0,20,16:09,1,1,11,5,68.8
11,2023-11-07,11,36-092,PIT,@,ANA,W,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,23,18:36,1,1,14,6,70.0
12,2023-11-09,12,36-094,PIT,@,LAK,W,1,1,2,1,2,1,0,0,0,1,0,0,3,33.3,29,19:47,3,1,10,7,58.8
13,2023-11-11,13,36-096,PIT,,BUF,W,0,1,1,1,0,0,0,0,0,1,0,0,4,0.0,22,19:34,0,0,15,9,62.5
14,2023-11-14,14,36-099,PIT,@,CBJ,W,3,1,4,3,0,3,0,0,1,1,0,0,3,100.0,21,17:30,0,0,11,7,61.1
15,2023-11-16,15,36-101,PIT,,NJD,L,0,1,1,1,2,0,0,0,0,1,0,0,3,0.0,24,19:52,0,1,9,13,40.9
16,2023-11-18,16,36-103,PIT,@,CAR,L,2,0,2,1,0,2,0,0,0,0,0,0,2,100.0,26,17:56,1,0,12,6,66.7
17,2023-11-19,17,36-104,PIT,,VEG,W,0,0,0,1,2,0,0,0,0,0,0,0,4,0.0,22,17:22,1,0,13,12,52.0
18,2023-11-22,18,36-107,PIT,,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,24,21:19,0,1,17,12,58.6
19,2023-11-24,19,36-109,PIT,@,BUF,L,1,0,1,0,0,1,0,0,0,0,0,0,5,20.0,24,19:14,1,0,17,15,53.1
20,2023-11-25,20,36-110,PIT,,TOR,W,0,1,1,0,0,0,0,0,0,1,0,0,5,0.0,24,21:26,0,0,11,12,47.8
21,2023-11-28,21,36-113,PIT,@,NSH,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,24,20:17,1,0,8,6,57.1
22,2023-11-30,22,36-115,PIT,@,TBL,W,1,0,1,1,0,1,0,0,0,0,0,0,5,20.0,24,19:19,3,2,11,5,68.8
23,2023-12-02,23,36-117,PIT,,PHI,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,26,25:29,2,0,25,7,78.1
24,2023-12-04,24,36-119,PIT,@,PHI,L-OT,1,0,1,-1,0,1,0,0,0,0,0,0,4,25.0,26,22:31,1,1,7,12,36.8
25,2023-12-06,25,36-121,PIT,@,TBL,L,0,1,1,0,0,0,0,0,0,1,0,0,4,0.0,25,23:25,2,0,19,8,70.4
26,2023-12-08,26,36-123,PIT,@,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,24,21:02,0,0,8,9,47.1
27,2023-12-12,27,36-127,PIT,,ARI,W,0,1,1,1,2,0,0,0,0,0,1,0,4,0.0,23,19:06,3,1,15,9,62.5
28,2023-12-13,28,36-128,PIT,@,MTL,W,2,1,3,0,0,1,1,0,0,0,1,0,2,100.0,28,22:06,0,1,12,8,60.0
29,2023-12-16,29,36-131,PIT,@,TOR,L,0,0,0,-3,2,0,0,0,0,0,0,0,5,0.0,22,18:51,3,0,16,5,76.2
30,2023-12-18,30,36-133,PIT,,MIN,W,1,1,2,-2,0,0,1,0,1,0,1,0,4,25.0,24,22:04,0,0,17,6,73.9
31,2023-12-21,31,36-136,PIT,,CAR,W,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,26,22:37,3,2,14,13,51.9
32,2023-12-23,32,36-138,PIT,@,OTT,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,24,21:35,1,0,13,9,59.1
33,2023-12-27,33,36-142,PIT,@,NYI,W,0,0,0,2,0,0,0,0,0,0,0,0,0,,24,18:47,1,0,15,9,62.5
34,2023-12-30,34,36-145,PIT,,STL,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,23,20:22,0,1,17,7,70.8
35,2023-12-31,35,36-146,PIT,,NYI,W,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,26,18:10,1,0,14,10,58.3
36,2024-01-02,36,36-148,PIT,,WSH,L,1,1,2,2,0,0,1,0,0,1,0,0,1,100.0,23,22:24,4,0,17,12,58.6
37,2024-01-04,37,36-150,PIT,@,BOS,W,1,2,3,1,0,0,1,0,1,2,0,0,3,33.3,28,18:39,2,2,16,6,72.7
38,2024-01-06,38,36-152,PIT,,BUF,L,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,22,20:46,1,0,13,9,59.1
39,2024-01-08,39,36-154,PIT,@,PHI,W,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,26,20:52,0,0,7,18,28.0
40,2024-01-11,40,36-157,PIT,,VAN,L-OT,2,0,2,1,2,2,0,0,0,0,0,0,5,40.0,26,25:30,6,0,18,13,58.1
41,2024-01-13,41,36-159,PIT,@,CAR,L-OT,0,1,1,2,0,0,0,0,0,1,0,0,6,0.0,31,24:04,2,1,12,13,48.0
42,2024-01-15,42,36-161,PIT,,SEA,W,2,0,2,2,0,2,0,0,0,0,0,0,4,50.0,23,19:36,0,0,14,11,56.0
43,2024-01-20,43,36-166,PIT,@,VEG,L,0,1,1,-1,0,0,0,0,0,1,0,0,3,0.0,24,19:52,0,3,14,13,51.9
44,2024-01-22,44,36-168,PIT,@,ARI,L,1,0,1,0,0,1,0,0,0,0,0,0,6,16.7,23,20:44,1,0,13,10,56.5
45,2024-01-26,45,36-172,PIT,,FLA,L-SO,0,1,1,1,0,0,0,0,0,1,0,0,5,0.0,29,25:32,2,0,15,17,46.9
46,2024-01-27,46,36-173,PIT,,MTL,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,25,20:06,0,0,17,5,77.3
47,2024-02-06,47,36-183,PIT,,WPG,W,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,22,19:05,0,1,15,7,68.2
48,2024-02-09,48,36-186,PIT,@,MIN,L,1,0,1,-2,0,0,1,0,0,0,0,0,5,20.0,22,20:15,1,0,12,11,52.2
49,2024-02-10,49,36-187,PIT,@,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,19:39,2,0,9,5,64.3
50,2024-02-14,50,36-191,PIT,,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,26,22:23,0,0,11,11,50.0
51,2024-02-15,51,36-192,PIT,@,CHI,W,2,0,2,3,0,2,0,0,0,0,0,0,3,66.7,22,18:02,1,1,9,4,69.2
52,2024-02-18,52,36-195,PIT,,LAK,L,1,0,1,-1,2,0,1,0,0,0,0,0,2,50.0,26,21:23,4,1,13,10,56.5
53,2024-02-20,53,36-197,PIT,,NYI,L-OT,0,0,0,-2,0,0,0,0,0,0,0,0,7,0.0,27,21:40,2,1,17,11,60.7
54,2024-02-22,54,36-199,PIT,,MTL,W,0,1,1,0,0,0,0,0,0,0,1,0,2,0.0,26,17:07,1,1,12,10,54.5
55,2024-02-25,55,36-202,PIT,,PHI,W,1,3,4,2,2,1,0,0,0,2,1,0,4,25.0,26,18:40,1,2,10,10,50.0
56,2024-02-27,56,36-204,PIT,@,VAN,W,0,2,2,-1,0,0,0,0,0,1,1,0,5,0.0,26,19:47,0,1,13,13,50.0
57,2024-02-29,57,36-206,PIT,@,SEA,L,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,23,21:33,1,0,12,13,48.0
58,2024-03-02,58,36-208,PIT,@,CGY,L,0,1,1,-1,0,0,0,0,0,0,1,0,4,0.0,25,18:23,0,0,17,7,70.8
59,2024-03-03,59,36-209,PIT,@,EDM,L,0,0,0,-3,0,0,0,0,0,0,0,0,3,0.0,26,16:52,2,0,8,14,36.4
60,2024-03-05,60,36-211,PIT,,CBJ,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,26,21:31,0,0,16,6,72.7
61,2024-03-07,61,36-213,PIT,,WSH,L,0,0,0,-3,0,0,0,0,0,0,0,0,8,0.0,21,18:46,1,0,9,10,47.4
62,2024-03-09,62,36-215,PIT,@,BOS,L,0,1,1,-1,0,0,0,0,0,1,0,0,0,,24,17:58,1,0,14,13,51.9
63,2024-03-10,63,36-216,PIT,,EDM,L,0,0,0,-3,2,0,0,0,0,0,0,0,2,0.0,21,19:15,2,0,12,9,57.1
64,2024-03-12,64,36-218,PIT,@,OTT,L-OT,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,26,20:39,0,0,15,9,62.5
65,2024-03-14,65,36-220,PIT,,SJS,W,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,23,18:43,1,0,12,9,57.1
66,2024-03-16,66,36-222,PIT,,NYR,L,0,1,1,-1,0,0,0,0,0,1,0,0,1,0.0,23,21:48,3,0,13,9,59.1
67,2024-03-17,67,36-223,PIT,,DET,W,1,1,2,1,0,1,0,0,0,0,1,0,3,33.3,25,19:09,0,2,11,8,57.9
68,2024-03-19,68,36-225,PIT,@,NJD,L,0,1,1,0,0,0,0,0,0,1,0,0,5,0.0,22,21:31,1,0,11,14,44.0
69,2024-03-22,69,36-228,PIT,@,DAL,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,26,20:44,0,0,17,7,70.8
70,2024-03-24,70,36-230,PIT,@,COL,L-OT,1,3,4,0,0,1,0,0,0,3,0,0,5,20.0,28,20:10,2,1,19,11,63.3
71,2024-03-26,71,36-232,PIT,,CAR,W,1,2,3,3,0,1,0,0,0,2,0,0,2,50.0,24,19:50,0,0,20,11,64.5
72,2024-03-28,72,36-234,PIT,,CBJ,W,0,2,2,-1,2,0,0,0,0,1,1,0,3,0.0,23,21:02,0,1,17,6,73.9
73,2024-03-30,73,36-236,PIT,@,CBJ,L-SO,0,1,1,-1,2,0,0,0,0,1,0,0,4,0.0,28,22:31,0,0,11,9,55.0
74,2024-04-01,74,36-238,PIT,@,NYR,W,2,1,3,3,0,2,0,0,0,1,0,0,3,66.7,24,19:39,1,1,13,10,56.5
75,2024-04-02,75,36-239,PIT,@,NJD,W,2,0,2,-1,0,1,1,0,0,0,0,0,2,100.0,23,16:09,1,0,10,11,47.6
76,2024-04-04,76,36-241,PIT,@,WSH,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,25,18:50,2,1,8,8,50.0
77,2024-04-06,77,36-243,PIT,,TBL,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,30,18:33,2,0,16,8,66.7
78,2024-04-08,78,36-245,PIT,@,TOR,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,25,21:15,2,1,10,12,45.5
79,2024-04-11,79,36-248,PIT,,DET,W,1,2,3,0,2,1,0,0,0,2,0,0,5,20.0,29,19:35,2,0,6,14,30.0
80,2024-04-13,80,36-250,PIT,,BOS,L,0,1,1,-1,0,0,0,0,0,1,0,0,1,0.0,25,19:48,4,0,8,12,40.0
81,2024-04-15,81,36-252,PIT,,NSH,W,1,1,2,-1,0,0,1,0,0,1,0,0,7,14.3,25,20:53,0,0,18,5,78.3
82,2024-04-17,82,36-254,PIT,@,NYI,L,0,2,2,-1,0,0,0,0,0,0,2,0,3,0.0,22,19:47,3,0,12,10,54.5
1,2022-10-13,1,35-067,PIT,,ARI,W,1,2,3,1,2,1,0,0,0,0,2,0,7,14.3,25,18:22,1,0,7,7,50.0
2,2022-10-15,2,35-069,PIT,,TBL,W,1,2,3,2,0,1,0,0,0,1,1,0,2,50.0,23,19:17,2,0,6,9,40.0
3,2022-10-17,3,35-071,PIT,@,MTL,L-OT,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,25,18:58,0,0,9,6,60.0
4,2022-10-20,4,35-074,PIT,,LAK,W,0,1,1,2,2,0,0,0,0,1,0,0,3,0.0,21,16:50,2,3,6,6,50.0
5,2022-10-22,5,35-076,PIT,@,CBJ,W,1,2,3,1,0,1,0,0,1,2,0,0,5,20.0,27,20:49,1,0,12,8,60.0
6,2022-10-24,6,35-078,PIT,@,EDM,L,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,22,19:12,4,0,6,13,31.6
7,2022-10-25,7,35-079,PIT,@,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,24,20:30,1,0,7,15,31.8
8,2022-10-28,8,35-082,PIT,@,VAN,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,24,23:24,0,1,11,10,52.4
9,2022-10-29,9,35-083,PIT,@,SEA,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,25,22:33,3,0,14,17,45.2
10,2022-11-01,10,35-086,PIT,,BOS,L-OT,1,0,1,1,2,1,0,0,0,0,0,0,3,33.3,27,25:04,3,0,11,16,40.7
11,2022-11-02,11,35-087,PIT,@,BUF,L,0,0,0,-4,0,0,0,0,0,0,0,0,2,0.0,25,17:48,0,0,15,9,62.5
12,2022-11-05,12,35-090,PIT,,SEA,L,1,1,2,0,2,1,0,0,0,1,0,0,2,50.0,22,20:03,1,1,10,6,62.5
13,2022-11-09,13,35-094,PIT,@,WSH,W,0,1,1,2,2,0,0,0,0,1,0,0,2,0.0,25,20:42,1,2,11,7,61.1
14,2022-11-11,14,35-096,PIT,@,TOR,W,0,1,1,0,0,0,0,0,0,1,0,0,0,,26,19:50,2,1,10,11,47.6
15,2022-11-12,15,35-097,PIT,@,MTL,L-OT,0,0,0,-2,2,0,0,0,0,0,0,0,1,0.0,22,21:25,1,1,17,10,63.0
16,2022-11-15,16,35-100,PIT,,TOR,L,1,0,1,-4,0,1,0,0,0,0,0,0,2,50.0,23,20:32,0,1,6,10,37.5
17,2022-11-17,17,35-102,PIT,@,MIN,W,2,2,4,0,0,1,1,0,0,1,1,0,3,66.7,23,18:37,1,0,19,8,70.4
18,2022-11-19,18,35-104,PIT,@,WPG,W,0,2,2,2,0,0,0,0,0,2,0,0,2,0.0,26,19:04,0,0,13,14,48.1
19,2022-11-20,19,35-105,PIT,@,CHI,W,1,3,4,2,0,1,0,0,1,3,0,0,2,50.0,25,17:33,0,0,13,9,59.1
20,2022-11-23,20,35-108,PIT,,CGY,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,23,22:11,0,0,16,11,59.3
21,2022-11-25,21,35-110,PIT,@,PHI,W,1,0,1,1,0,1,0,0,1,0,0,0,5,20.0,20,15:32,1,0,8,5,61.5
22,2022-11-26,22,35-111,PIT,,TOR,L,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,22,16:34,3,0,16,9,64.0
23,2022-11-29,23,35-114,PIT,,CAR,L-OT,1,1,2,1,0,1,0,0,0,1,0,0,4,25.0,27,21:18,2,0,13,11,54.2
24,2022-12-01,24,35-116,PIT,,VEG,W,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,23,19:37,1,1,9,13,40.9
25,2022-12-03,25,35-118,PIT,,STL,W,1,0,1,1,0,1,0,0,0,0,0,0,8,12.5,21,21:27,1,0,6,12,33.3
26,2022-12-06,26,35-121,PIT,,CBJ,W,2,0,2,1,0,1,1,0,1,0,0,0,4,50.0,19,20:43,1,1,10,12,45.5
27,2022-12-09,27,35-124,PIT,@,BUF,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,25,21:38,1,0,16,6,72.7
28,2022-12-10,28,35-125,PIT,,BUF,W,2,1,3,2,0,2,0,0,1,0,1,0,4,50.0,22,18:48,1,2,14,8,63.6
29,2022-12-12,29,35-127,PIT,,DAL,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,24,19:00,0,0,15,13,53.6
