,Date,Vs,Opponent
1,"Thu, Oct 10",vs,Columbus
2,"Sat, Oct 12",vs,Seattle
3,"Sun, Oct 13",@,Winnipeg
4,"Tue, Oct 15",@,St. Louis
5,"Sat, Oct 19",@,Columbus
6,"Tue, Oct 22",@,Florida
7,"Thu, Oct 24",@,Tampa Bay
8,"Sat, Oct 26",@,Philadelphia
9,"Tue, Oct 29",@,Pittsburgh
10,"Fri, Nov 01",vs,Tampa Bay
11,"Sun, Nov 03",vs,Toronto
12,"Tue, Nov 05",vs,Los Angeles
13,"Thu, Nov 07",@,San Jose
14,"Fri, Nov 08",@,Anaheim
15,"Sun, Nov 10",@,Chicago
16,"Thu, Nov 14",vs,Montreal
17,"Sat, Nov 16",vs,Dallas
18,"Tue, Nov 19",@,St. Louis
19,"Thu, Nov 21",@,Edmonton
20,"Sat, Nov 23",@,Calgary
21,"Mon, Nov 25",vs,Winnipeg
22,"Wed, Nov 27",@,Buffalo
23,"Fri, Nov 29",vs,Chicago
24,"Sat, Nov 30",vs,Nashville
25,"Tue, Dec 03",vs,Vancouver
26,"Fri, Dec 06",@,Anaheim
27,"Sat, Dec 07",@,Los Angeles
28,"Tue, Dec 10",@,Arizona
29,"Thu, Dec 12",vs,Edmonton
30,"Sat, Dec 14",vs,Philadelphia
31,"Sun, Dec 15",vs,Vegas
32,"Wed, Dec 18",vs,Florida
33,"Fri, Dec 20",vs,Arizona
34,"Sat, Dec 21",@,Winnipeg
35,"Mon, Dec 23",vs,Chicago
36,"Fri, Dec 27",@,Dallas
37,"Sun, Dec 29",vs,Ottawa
38,"Tue, Dec 31",vs,Nashville
39,"Thu, Jan 02",@,Washington
40,"Sat, Jan 04",@,Carolina
41,"Tue, Jan 07",vs,St. Louis
42,"Thu, Jan 09",vs,Colorado
43,"Sat, Jan 11",@,San Jose
44,"Sun, Jan 12",@,Vegas
45,"Wed, Jan 15",vs,Edmonton
46,"Sat, Jan 18",@,Nashville
47,"Mon, Jan 20",@,Colorado
48,"Thu, Jan 23",vs,Arizona
49,"Sat, Jan 25",vs,Calgary
50,"Sun, Jan 26",@,Chicago
51,"Wed, Jan 29",@,Toronto
52,"Thu, Jan 30",@,Montreal
53,"Sat, Feb 01",@,Ottawa
54,"Tue, Feb 04",@,Boston
55,"Thu, Feb 06",vs,Carolina
56,"Sat, Feb 08",vs,New York Islanders
57,"Sat, Feb 22",@,Detroit
58,"Tue, Feb 25",vs,Detroit
59,"Thu, Feb 27",@,Arizona
60,"Fri, Feb 28",@,Colorado
61,"Sun, Mar 02",vs,Boston
62,"Tue, Mar 04",@,Seattle
63,"Fri, Mar 07",@,Vancouver
64,"Sun, Mar 09",vs,Pittsburgh
65,"Tue, Mar 11",vs,Colorado
66,"Thu, Mar 13",vs,New York Rangers
67,"Sat, Mar 15",vs,St. Louis
68,"Mon, Mar 17",vs,Los Angeles
69,"Wed, Mar 19",vs,Seattle
70,"Sat, Mar 22",vs,Buffalo
71,"Mon, Mar 24",@,Dallas
72,"Tue, Mar 25",vs,Vegas
73,"Thu, Mar 27",vs,Washington
74,"Sat, Mar 29",vs,New Jersey
75,"Mon, Mar 31",@,New Jersey
76,"Wed, Apr 02",@,New York Rangers
77,"Fri, Apr 04",@,New York Islanders
78,"Sun, Apr 06",vs,Dallas
79,"Wed, Apr 09",vs,San Jose
80,"Fri, Apr 11",@,Calgary
81,"Sat, Apr 12",@,Vancouver
82,"Tue, Apr 15",vs,Anaheim
